Accession,Gene Symbol,Description,mean_CLIP_enrichment,CLIP-seq FDR,Ribosome density change (log2),RNA-seq mRNA change upon Lin28a KD (log2),candidate_group,binding_site_count,n_sites_detected_2plus_libraries,n_sites_detected_3_libraries,max_detected_libraries,mean_detected_libraries,depth_max_35L33G,depth_mean_35L33G,depth_max_2J3,depth_mean_2J3,depth_max_polyclonal,depth_mean_polyclonal,entropy_max_35L33G,entropy_mean_35L33G,entropy_max_2J3,entropy_mean_2J3,entropy_max_polyclonal,entropy_mean_polyclonal,has_binding_site
NM_008291,Hsd17b3,testosterone 17-beta-dehydrogenase 3,,,,-1.77694442572,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008299,Dnajb3,dnaJ homolog subfamily B member 3,,,,-0.316261184518,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008301,Hspa2,heat shock-related 70 kDa protein 2,,,,0.627416685896,Not_candidate,2,2.0,1.0,3.0,2.5,18.0,14.0,27.0,27.0,23.0,16.0,1.08889997535,0.8398711108129999,0.571832739398,0.571832739398,1.08501115746,0.8607626628775,True
NM_008304,Sdc2,syndecan-2 precursor,1.0676174074114748,0.282069607032049,,0.106461453521,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008306,Ndst1,bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1,-0.01663060064098586,0.999999999990223,,0.166202301423,Not_candidate,6,3.0,2.0,3.0,1.8333333333333333,29.0,20.666666666666668,59.0,36.0,29.0,19.0,0.990835386444,0.9499110224890001,1.27216083323,1.032867944394,1.29926588881,0.9862742506387999,True
NM_008308,Htr1a,5-hydroxytryptamine receptor 1A,,,,0.554675358537,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008309,Htr1d,5-hydroxytryptamine receptor 1D,,,,0.233048249699,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008310,Htr1f,5-hydroxytryptamine receptor 1F,,,,1.62041804806,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008311,Htr2b,5-hydroxytryptamine receptor 2B,,,,0.180124629117,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008313,Htr4,5-hydroxytryptamine receptor 4,,,,-0.0732328264503,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008317,Hyal1,hyaluronidase-1 precursor,,,,0.529715940832,Not_candidate,1,1.0,0.0,2.0,2.0,31.0,31.0,14.0,14.0,,,1.29463537093,1.29463537093,0.651756561173,0.651756561173,,,True
NM_008319,Icam5,intercellular adhesion molecule 5 precursor,,,,0.712933894187,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008320,Irf8,interferon regulatory factor 8,,,,-0.763009934063,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008325,Idua,alpha-L-iduronidase precursor,0.17636210568634855,0.915866170451509,,0.1445617464,Not_candidate,2,1.0,1.0,3.0,2.0,10.0,9.0,29.0,29.0,35.0,35.0,0.974314752869,0.7925895274620001,1.02223230704,1.02223230704,1.00275569453,1.00275569453,True
NM_008326,Irgm1,immunity-related GTPase family M protein 1,-3.1294495068586037,0.999999999990223,,0.925058230842,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008332,Ifit2,interferon-induced protein with,0.0,1.0,,-1.16047337837,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008338,Ifngr2,interferon gamma receptor 2 precursor,0.4054272956090397,1.0,,0.763017734082,Not_candidate,0,,,,,,,,,,,,,,,,,False
