Accession,Gene Symbol,Description,candidate_group,high_confidence,Ribosome density change (log2),RNA-seq mRNA change upon Lin28a KD (log2),mean_CLIP_enrichment,CLIP-seq FDR,total_binding_site_count,binding_site_count,dominant_binding_region,5UTR_site_count,CDS_site_count,3UTR_site_count,is_ER_or_protein_folding,is_membrane_or_transmembrane,is_secretory_or_extracellular,is_Golgi_or_trafficking,is_lysosome_or_endosome,is_receptor_or_signaling,is_transporter_or_channel,is_adhesion_or_ECM,is_other_or_unclear,is_adhesion_or_ECM,ER_membrane_core,ER_membrane_broad
NM_009642,Agtrap,type-1 angiotensin II receptor-associated protein,Not_candidate,False,0.90043880944754,0.525313313025,-0.5428776524919193,0.999999999990223,12,12,3UTR,0,2,10,False,False,False,False,False,True,False,False,False,False,False,False
NM_134086,Slc38a1,sodium-coupled neutral amino acid transporter 1,Not_candidate,False,0.899818024479702,-0.181992998715,1.4968396933401231,0.149089697801469,0,0,none,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True
NM_016898,Cd164,sialomucin core protein 24,Not_candidate,False,0.895230572275671,-0.208749636144,1.8321235435678969,0.0702211598729148,25,25,3UTR,0,5,20,False,False,False,False,False,False,False,False,True,False,False,False
NM_001168470,Tmem93,transmembrane protein 93,Not_candidate,False,0.891920904823875,-0.453295281576,0.0261785640334754,0.999999999990223,0,0,none,0,0,0,False,True,False,False,False,False,False,False,False,False,True,True
NM_001114328,Ccpg1,cell cycle progression protein 1 isoform 1,Not_candidate,False,0.890787623905045,0.0543646637454,1.6649726840881935,0.102501576662761,18,18,CDS,0,16,2,False,False,False,False,False,False,False,False,True,False,False,False
NM_009201,Slc1a5,neutral amino acid transporter B(0),Not_candidate,False,0.889952865517715,-0.356370998795,-0.4100271560804883,0.999999999990223,0,0,none,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True
NM_013825,Ly75,lymphocyte antigen 75 precursor,Not_candidate,False,0.88925070294798,0.436504634876,1.2315305323246133,0.243604927982403,53,53,CDS,0,53,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_027652,Ept1,ethanolaminephosphotransferase 1,Not_candidate,False,0.888093799183003,-0.55205904185,1.29894909400167,0.216243678843766,38,38,3UTR,2,6,30,False,False,False,False,False,False,False,False,True,False,False,False
NM_007763,Crip1,cysteine-rich protein 1,Not_candidate,False,0.883440000764459,0.601599439235,-1.7556368452003943,0.999999999990223,1,1,CDS,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_177730,Impad1,inositol monophosphatase 3,A_and_B_overlap,True,0.879575752796493,-0.25925627764,2.428916710732517,0.0187166007138983,25,25,3UTR,0,8,17,False,False,False,False,False,False,False,False,True,False,False,False
