Accession,Gene Symbol,CLIP-seq p-value,CLIP-seq FDR,RNA-seq reads (for normalization),CLIP-seq reads (35L33G),"CLIP-seq enrichment (35L33G, log2)",CLIP-seq reads (2J3),"CLIP-seq enrichment (2J3, log2)",CLIP-seq reads (polyclonal),"CLIP-seq enrichment (polyclonal, log2)",Ribosome density change (log2),Ribosome occupancy change (log2),RPF  reads (siLuc),RNA-seq short tag alignment reads (siLuc),RPF  reads (siLin28a),RNA-seq short tag alignment reads (siLin28a),"RNA-seq reads (untreated, RPKM)","RNA-seq reads (siLuc, RPKM)","RNA-seq reads (siLin28a, RPKM)",RNA-seq mRNA change upon Lin28a KD (log2),Description
NM_013789,Sergef,0.86868539504974,0.999999999990223,59.0,34.0,-0.777607578663551,7.0,-2.90689059560851,35.0,-0.736965594166206,,,,,,,2.38231500405,4.92005416115,2.38231500405,1.01601672535,secretion-regulating guanine nucleotide exchange factor
NM_013792,Naglu,,,,,,,,,,,,,,,,2.05227844515,1.47101020774,2.05227844515,-0.45417218004,alpha-N-acetylglucosaminidase precursor
NM_013796,Nagpa,0.676174064472847,0.999999999990223,161.0,106.0,-0.598383016483477,114.0,-0.494359951940249,84.0,-0.930459066746923,,,,,,,8.0812730156,9.04634170491,8.0812730156,0.160869473197,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase precursor
NM_013799,Ate1,0.187106545972499,0.818499951421334,676.0,754.0,0.157320810637444,988.0,0.546814687184114,794.0,0.23179902659672,,,,,,,17.5308613658,13.7757322987,17.5308613658,-0.345539047655,arginyl-tRNA--protein transferase 1 isoform 1
NM_013800,Barx2,,,,,,,,,,,,,,,,0.149387102431,0.639397226294,0.149387102431,1.5679627764,homeobox protein BarH-like 2
NM_013803,Casr,,,,,,,,,,,,,,,,0.147525529585,0.137766423262,0.147525529585,-0.0580323353437,extracellular calcium-sensing receptor precursor
NM_013805,Cldn5,,,,,,,,,,,,,,,,3.21213920038,2.7202706725,3.21213920038,-0.231929676336,claudin-5
NM_013806,Abcc2,1.0,1.0,37.0,49.0,0.0,39.0,0.0,56.0,0.584962500721156,,,,,,,1.36531606281,0.927271052987,1.36531606281,-0.512394984231,canalicular multispecific organic anion transporter 1
NM_013807,Plk3,0.999877237750442,0.999999999990223,252.0,37.0,-2.73506606125072,23.0,-3.39803107397315,23.0,-3.39803107397315,,,,,,,11.5295034417,17.5928168728,11.5295034417,0.605374260036,serine/threonine-protein kinase PLK3
NM_013811,Dnahc8,0.796379373453802,0.999999999990223,616.0,307.0,-1.00234013845451,370.0,-0.733851302528614,302.0,-1.02595269567646,,,,,,,5.61414002189,3.37666451269,5.61414002189,-0.716832530965,"dynein heavy chain 8, axonemal"
